keyword,locale,search_intent,evidence,priority,recommended_use
numpad,en-US,brand,"Current app name and main ASC search surface",1,"Keep in title/subtitle and use in core metadata."
number pad,en-US,generic utility,"App Store Search is the largest product-page source",1,"Use as a core keyword and screenshot headline support."
number keyboard,en-US,generic utility,"App Store Search is the largest product-page source",1,"Use as a core keyword and screenshot headline support."
numeric keypad,en-US,generic utility,"Matches the app's primary use case",1,"Use for metadata and PPO copy."
calculator keyboard,en-US,feature,"Tax and tip plus finance use cases",1,"Use for search intent around calculations and forms."
spreadsheet keyboard,en-US,workflow,"Existing screenshots mention forms and work",1,"Use for productivity-oriented search traffic."
forms keyboard,en-US,workflow,"Current screenshots and analytics favor search-led acquisition",1,"Use in subtitle or keyword cluster."
clipboard history,en-US,feature,"Long-press clipboard overlay is a real feature",2,"Use to capture utility-driven traffic."
tax tip keyboard,en-US,feature,"Tax and tip overlay is a differentiator",2,"Use in metadata and CPP copy."
finance keyboard,en-US,feature,"Finance pack and currency symbols exist as a monetized feature",2,"Use for intent matching and IAP cross-sell."
programmer keyboard,en-US,feature,"Programmer pack exists in the pack set",2,"Use for power-user segmentation."
teclado numerico,es-ES,localized generic,"Current Spanish metadata uses keyboard-first language",1,"Use in Spanish keywords and screenshot copy."
formularios,es-ES,workflow,"Spanish listing already targets forms and banking workflows",1,"Use in Spanish keyword grouping."
portapapeles,es-ES,feature,"Clipboard history is a real overlay feature",2,"Use to support utility searches."
数字键盘,zh-Hans,localized generic,"Current Chinese metadata uses this exact concept",1,"Use in Simplified Chinese keywords."
表单,zh-Hans,workflow,"Forms are a core app use case",1,"Use in Simplified Chinese keyword grouping."
验证码,zh-Hans,use case,"PIN/OTP behavior is a major numeric-entry use case",1,"Use for search intent around verification codes."
财务,zh-Hans,feature,"Finance pack and currency symbols are a monetized feature",2,"Use for finance intent."
مفاتيح,ar-SA,localized generic,"Arabic locale exists in metadata",2,"Use only after native review confirms the best term set."
